Datum,Tijd,Thuis/Uit,Tegenstander,Locatie
15-09-2025,19:00,Thuis,De Korrel 1,Oisterwijk
22-09-2025,19:00,Uit,HTC SON 2,Son en Bruegel
29-09-2025,19:00,Thuis,Volley 1,Oisterwijk
06-10-2025,19:00,Thuis,Westerhoven 1,Oisterwijk
13-10-2025,19:00,Uit,Volley 1,Eindhoven
20-10-2025,19:00,Uit,De Korrel 1,Oisterwijk
27-10-2025,19:00,Thuis,HTC SON 2,Oisterwijk
03-11-2025,19:00,Uit,Westerhoven 1,Westerhoven
10-11-2025,19:00,Thuis,De Korrel 1,Oisterwijk
17-11-2025,19:00,Uit,HTC SON 2,Son en Bruegel
24-11-2025,19:00,Thuis,Volley 1,Oisterwijk
01-12-2025,19:00,Uit,Westerhoven 1,Westerhoven
